Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,EducationField,Gender,HourlyRate,JobRole,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AgeBand,CompanyAgeBand
31,No,Travel_Rarely,408,Research & Development,9,Life Sciences,Male,42,Research Scientist,Single,2657,7551,0,Yes,16,3,5,2,2,2,2,31–40,0–10
21,Yes,Travel_Rarely,156,Sales,12,Life Sciences,Female,90,Sales Representative,Single,2716,25422,1,No,15,1,0,1,0,0,0,18–30,0–10
29,No,Travel_Rarely,1283,Research & Development,23,Life Sciences,Male,54,Research Scientist,Single,2201,18168,9,No,16,6,4,3,2,1,2,18–30,0–10
35,No,Travel_Rarely,755,Research & Development,9,Life Sciences,Male,97,Healthcare Representative,Single,6540,19394,9,No,19,10,5,1,1,0,0,31–40,0–10
27,No,Travel_Rarely,1469,Research & Development,1,Medical,Male,82,Laboratory Technician,Divorced,3816,17881,1,No,11,5,2,5,2,0,4,18–30,0–10
28,No,Travel_Rarely,304,Sales,9,Life Sciences,Male,92,Sales Executive,Single,5253,20750,1,No,16,7,1,7,5,0,7,18–30,0–10
49,No,Travel_Rarely,1261,Research & Development,7,Other,Male,31,Healthcare Representative,Single,10965,12066,8,No,24,26,2,5,2,0,0,41–50,0–10
51,No,Travel_Rarely,1178,Sales,14,Life Sciences,Female,87,Sales Executive,Married,4936,14862,4,No,11,18,2,7,7,0,7,51–60,0–10
36,No,Travel_Rarely,329,Research & Development,2,Life Sciences,Female,96,Research Scientist,Married,2543,11868,4,No,13,6,3,2,2,2,2,31–40,0–10
34,Yes,Non-Travel,1362,Sales,19,Marketing,Male,67,Sales Executive,Single,5304,4652,8,Yes,13,9,3,5,2,0,4,31–40,0–10
55,No,Travel_Rarely,1311,Research & Development,2,Life Sciences,Female,97,Manager,Single,16659,23258,2,Yes,13,30,2,5,4,1,2,51–60,0–10
24,No,Travel_Rarely,1371,Sales,10,Marketing,Female,77,Sales Executive,Divorced,4260,5915,1,Yes,12,5,2,5,2,0,3,18–30,0–10
30,No,Travel_Rarely,202,Sales,2,Technical Degree,Male,72,Sales Representative,Married,2476,17434,1,No,18,1,3,1,0,0,0,18–30,0–10
26,Yes,Travel_Frequently,575,Research & Development,3,Technical Degree,Male,73,Research Scientist,Single,3102,6582,0,No,22,7,2,6,4,0,4,18–30,0–10
22,No,Travel_Rarely,253,Research & Development,11,Medical,Female,43,Research Scientist,Married,2244,24440,1,No,13,2,1,2,1,1,2,18–30,0–10
36,No,Travel_Rarely,164,Sales,2,Medical,Male,61,Sales Executive,Married,7596,3809,1,No,13,10,2,10,9,9,0,31–40,0–10
30,Yes,Travel_Frequently,464,Research & Development,4,Technical Degree,Male,40,Research Scientist,Single,2285,3427,9,Yes,23,3,4,1,0,0,0,18–30,0–10
37,No,Travel_Rarely,1107,Research & Development,14,Life Sciences,Female,95,Laboratory Technician,Divorced,3034,26914,1,No,12,18,2,18,7,12,17,31–40,11–20
40,No,Travel_Rarely,759,Sales,2,Marketing,Female,46,Sales Executive,Divorced,5715,22553,7,No,12,8,5,5,4,1,3,31–40,0–10
42,No,Travel_Rarely,201,Research & Development,1,Life Sciences,Female,95,Laboratory Technician,Divorced,2576,20490,3,No,16,8,5,5,2,1,2,41–50,0–10
37,No,Travel_Rarely,1305,Research & Development,10,Life Sciences,Male,49,Manufacturing Director,Single,4197,21123,2,Yes,12,18,2,1,0,0,1,31–40,0–10
43,No,Travel_Rarely,982,Research & Development,12,Life Sciences,Male,59,Research Director,Divorced,14336,4345,1,No,11,25,3,25,10,3,9,41–50,21–30
40,No,Travel_Rarely,555,Research & Development,2,Medical,Female,78,Laboratory Technician,Married,3448,13436,6,No,22,20,3,1,0,0,0,31–40,0–10
54,No,Travel_Rarely,821,Research & Development,5,Medical,Male,86,Research Director,Married,19406,8509,4,No,11,24,4,4,2,1,2,51–60,0–10
34,No,Non-Travel,1381,Sales,4,Marketing,Female,72,Sales Executive,Married,6538,12740,9,No,15,6,3,3,2,1,2,31–40,0–10
31,No,Travel_Rarely,480,Research & Development,7,Medical,Female,31,Manufacturing Director,Married,4306,4156,1,No,12,13,5,13,10,3,12,31–40,11–20
43,No,Travel_Frequently,313,Research & Development,21,Medical,Male,61,Laboratory Technician,Married,2258,15238,7,No,20,8,1,3,2,1,2,41–50,0–10
43,No,Travel_Rarely,1473,Research & Development,8,Other,Female,74,Healthcare Representative,Divorced,4522,2227,4,Yes,14,8,3,5,2,0,2,41–50,0–10
25,No,Travel_Rarely,891,Sales,4,Life Sciences,Female,99,Sales Executive,Single,4487,12090,1,Yes,11,5,3,5,4,1,3,18–30,0–10
37,No,Non-Travel,1063,Research & Development,25,Medical,Female,72,Research Scientist,Married,4449,23866,3,Yes,15,15,2,13,11,10,7,31–40,11–20
31,No,Travel_Rarely,329,Research & Development,1,Life Sciences,Male,98,Laboratory Technician,Married,2218,16193,1,No,12,4,3,4,2,3,2,31–40,0–10
39,No,Travel_Frequently,1218,Research & Development,1,Life Sciences,Male,52,Manager,Divorced,19197,8213,1,Yes,14,21,3,21,8,1,6,31–40,21–30
56,No,Travel_Frequently,906,Sales,6,Life Sciences,Female,86,Sales Executive,Married,13212,18256,9,No,11,36,0,7,7,7,7,51–60,0–10
30,No,Travel_Rarely,1082,Sales,12,Technical Degree,Female,83,Sales Executive,Single,6577,19558,0,No,11,6,6,5,4,4,4,18–30,0–10
41,No,Travel_Rarely,645,Sales,1,Marketing,Male,49,Sales Executive,Married,8392,19566,1,No,16,10,2,10,7,0,7,41–50,0–10
28,No,Travel_Rarely,1300,Research & Development,17,Medical,Male,79,Laboratory Technician,Divorced,4558,13535,1,No,12,10,2,10,0,1,8,18–30,0–10
25,Yes,Travel_Rarely,688,Research & Development,3,Medical,Male,91,Laboratory Technician,Married,4031,9396,5,No,13,6,5,2,2,0,2,18–30,0–10
52,No,Travel_Rarely,319,Research & Development,3,Medical,Male,39,Manufacturing Director,Married,7969,19609,2,Yes,14,28,4,5,4,0,4,51–60,0–10
45,No,Travel_Rarely,192,Research & Development,10,Life Sciences,Male,69,Research Scientist,Married,2654,9655,3,No,21,8,3,2,2,0,2,41–50,0–10
52,No,Travel_Rarely,1490,Research & Development,4,Life Sciences,Female,30,Manager,Married,16555,10310,2,No,13,31,2,5,2,1,4,51–60,0–10
42,No,Travel_Frequently,532,Research & Development,29,Life Sciences,Female,92,Research Scientist,Divorced,4556,12932,2,No,11,19,3,5,4,0,2,41–50,0–10
30,No,Travel_Rarely,317,Research & Development,2,Life Sciences,Female,43,Manufacturing Director,Single,6091,24793,2,No,20,11,2,5,4,0,2,18–30,0–10
60,No,Travel_Rarely,422,Research & Development,7,Life Sciences,Female,41,Manager,Married,19566,3854,5,No,11,33,5,29,8,11,10,51–60,21–30
46,No,Travel_Rarely,1485,Research & Development,18,Medical,Female,87,Manufacturing Director,Divorced,4810,26314,2,No,14,19,5,10,7,0,8,41–50,0–10
42,No,Travel_Frequently,1368,Research & Development,28,Technical Degree,Female,88,Healthcare Representative,Married,4523,4386,0,No,11,7,4,6,5,0,4,41–50,0–10
24,Yes,Travel_Rarely,1448,Sales,1,Technical Degree,Female,62,Sales Representative,Single,3202,21972,1,Yes,16,6,4,5,3,1,4,18–30,0–10
34,Yes,Travel_Frequently,296,Sales,6,Marketing,Female,33,Sales Representative,Divorced,2351,12253,0,No,16,3,3,2,2,1,0,31–40,0–10
38,No,Travel_Frequently,1490,Research & Development,2,Life Sciences,Male,42,Laboratory Technician,Married,1702,12106,1,Yes,23,1,3,1,0,0,0,31–40,0–10
40,No,Travel_Rarely,1398,Sales,2,Life Sciences,Female,79,Manager,Married,18041,13022,0,No,14,21,2,20,15,1,12,31–40,11–20
26,No,Travel_Rarely,1349,Research & Development,23,Life Sciences,Female,90,Research Scientist,Divorced,2886,3032,1,No,22,3,3,3,2,0,2,18–30,0–10
30,No,Non-Travel,1400,Research & Development,3,Life Sciences,Male,53,Laboratory Technician,Married,2097,16734,4,No,15,9,3,5,3,1,4,18–30,0–10
29,No,Travel_Rarely,986,Research & Development,3,Medical,Male,93,Research Director,Married,11935,21526,1,No,18,10,2,10,2,0,7,18–30,0–10
29,Yes,Travel_Rarely,408,Research & Development,25,Technical Degree,Female,71,Research Scientist,Married,2546,18300,5,No,16,6,2,2,2,1,1,18–30,0–10
19,Yes,Travel_Rarely,489,Human Resources,2,Technical Degree,Male,52,Human Resources,Single,2564,18437,1,No,12,1,3,1,0,0,0,18–30,0–10
30,No,Non-Travel,1398,Sales,22,Other,Female,69,Sales Executive,Married,8412,2890,0,No,11,10,3,9,8,7,8,18–30,0–10
57,No,Travel_Rarely,210,Sales,29,Marketing,Male,56,Manager,Divorced,14118,22102,3,No,12,32,3,1,0,0,0,51–60,0–10
50,No,Travel_Rarely,1099,Research & Development,29,Life Sciences,Male,88,Manager,Married,17046,9314,0,No,15,28,2,27,10,15,7,41–50,21–30
30,No,Non-Travel,1116,Research & Development,2,Medical,Female,49,Laboratory Technician,Single,2564,7181,0,No,14,12,2,11,7,6,7,18–30,11–20
60,No,Travel_Frequently,1499,Sales,28,Marketing,Female,80,Sales Executive,Married,10266,2845,4,No,19,22,5,18,13,13,11,51–60,11–20
47,No,Travel_Rarely,983,Research & Development,2,Medical,Female,65,Manufacturing Director,Divorced,5070,7389,5,No,13,20,2,5,0,0,4,41–50,0–10
46,No,Travel_Rarely,1009,Research & Development,2,Life Sciences,Male,51,Research Director,Married,17861,2288,6,No,13,26,2,3,2,0,1,41–50,0–10
35,No,Travel_Rarely,144,Research & Development,22,Life Sciences,Male,46,Laboratory Technician,Single,4230,19225,0,No,15,6,2,5,4,4,3,31–40,0–10
54,No,Travel_Rarely,548,Research & Development,8,Life Sciences,Female,42,Laboratory Technician,Single,3780,23428,7,No,11,19,3,1,0,0,0,51–60,0–10
34,No,Travel_Rarely,1303,Research & Development,2,Life Sciences,Male,62,Research Scientist,Divorced,2768,8416,3,No,12,14,3,7,3,5,7,31–40,0–10
46,No,Travel_Rarely,1125,Sales,10,Marketing,Female,94,Sales Executive,Married,9071,11563,2,Yes,19,15,3,3,2,1,2,41–50,0–10
31,No,Travel_Rarely,1274,Research & Development,9,Life Sciences,Male,33,Manufacturing Director,Divorced,10648,14394,1,No,25,13,6,13,8,0,8,31–40,11–20
33,Yes,Travel_Rarely,1277,Research & Development,15,Medical,Male,56,Manager,Married,13610,24619,7,Yes,12,15,2,7,6,7,7,31–40,0–10
33,Yes,Travel_Rarely,587,Research & Development,10,Medical,Male,38,Laboratory Technician,Divorced,3408,6705,7,No,13,8,2,4,3,1,3,31–40,0–10
30,No,Travel_Rarely,413,Sales,7,Marketing,Male,57,Sales Representative,Single,2983,18398,0,No,14,4,3,3,2,1,2,18–30,0–10
35,No,Travel_Rarely,1276,Research & Development,16,Life Sciences,Male,72,Healthcare Representative,Married,7632,14295,4,Yes,12,10,2,8,7,0,0,31–40,0–10
31,Yes,Travel_Frequently,534,Research & Development,20,Life Sciences,Male,66,Healthcare Representative,Married,9824,22908,3,No,12,12,2,1,0,0,0,31–40,0–10
34,Yes,Travel_Frequently,988,Human Resources,23,Human Resources,Female,43,Human Resources,Divorced,9950,11533,9,Yes,15,11,2,3,2,0,2,31–40,0–10
42,No,Travel_Frequently,1474,Research & Development,5,Other,Male,97,Laboratory Technician,Married,2093,9260,4,No,17,8,4,2,2,2,0,41–50,0–10
36,No,Non-Travel,635,Sales,10,Medical,Male,32,Sales Executive,Single,9980,15318,1,No,14,10,3,10,3,9,7,31–40,0–10
22,Yes,Travel_Frequently,1368,Research & Development,4,Technical Degree,Male,99,Laboratory Technician,Single,3894,9129,5,No,16,4,3,2,2,1,2,18–30,0–10
48,No,Travel_Rarely,163,Sales,2,Marketing,Female,37,Sales Executive,Married,4051,19658,2,No,14,14,2,9,7,6,7,41–50,0–10
55,No,Travel_Rarely,1117,Sales,18,Life Sciences,Female,83,Manager,Single,16835,9873,3,No,23,37,2,10,9,7,7,51–60,0–10
41,No,Non-Travel,267,Sales,10,Life Sciences,Male,56,Sales Executive,Single,6230,13430,7,No,14,16,3,14,3,1,10,41–50,11–20
35,No,Travel_Rarely,619,Sales,1,Marketing,Male,85,Sales Executive,Married,4717,18659,9,No,11,15,2,11,9,6,9,31–40,11–20
40,No,Travel_Rarely,302,Research & Development,6,Life Sciences,Female,75,Manufacturing Director,Single,13237,20364,7,No,15,22,3,20,6,5,13,31–40,11–20
39,No,Travel_Frequently,443,Research & Development,8,Life Sciences,Female,48,Laboratory Technician,Married,3755,17872,1,No,11,8,3,8,3,0,7,31–40,0–10
31,No,Travel_Rarely,828,Sales,2,Life Sciences,Male,77,Sales Executive,Single,6582,8346,4,Yes,13,10,2,6,5,0,5,31–40,0–10
42,No,Travel_Rarely,319,Research & Development,24,Medical,Male,56,Manufacturing Director,Married,7406,6950,1,Yes,21,10,5,10,9,5,8,41–50,0–10
45,No,Travel_Rarely,561,Sales,2,Other,Male,61,Sales Executive,Married,4805,16177,0,No,19,9,3,8,7,3,7,41–50,0–10
26,Yes,Travel_Frequently,426,Human Resources,17,Life Sciences,Female,58,Human Resources,Divorced,2741,22808,0,Yes,11,8,2,7,7,1,0,18–30,0–10
29,No,Travel_Rarely,232,Research & Development,19,Technical Degree,Male,34,Manufacturing Director,Divorced,4262,22645,4,No,12,8,2,3,2,1,2,18–30,0–10
33,No,Travel_Rarely,922,Research & Development,1,Medical,Female,95,Research Director,Divorced,16184,22578,4,No,19,10,2,6,1,0,5,31–40,0–10
31,No,Travel_Rarely,688,Sales,7,Life Sciences,Male,44,Manager,Divorced,11557,25291,9,No,21,10,3,5,4,0,1,31–40,0–10
18,Yes,Travel_Frequently,1306,Sales,5,Marketing,Male,69,Sales Representative,Single,1878,8059,1,Yes,14,0,3,0,0,0,0,0,0
40,No,Non-Travel,1094,Sales,28,Other,Male,58,Sales Executive,Divorced,10932,11373,3,No,15,20,2,1,0,0,1,31–40,0–10
41,No,Non-Travel,509,Research & Development,2,Other,Female,62,Healthcare Representative,Single,6811,2112,2,Yes,17,10,3,8,7,0,7,41–50,0–10
26,No,Travel_Rarely,775,Sales,29,Medical,Male,45,Sales Executive,Divorced,4306,4267,5,No,12,8,5,0,0,0,0,18–30,0
35,No,Travel_Rarely,195,Sales,1,Medical,Female,80,Sales Executive,Single,4859,6698,1,No,16,5,3,5,4,0,3,31–40,0–10
34,No,Travel_Rarely,258,Sales,21,Life Sciences,Male,74,Sales Executive,Single,5337,19921,1,No,12,10,3,10,7,5,7,31–40,0–10
26,Yes,Travel_Rarely,471,Research & Development,24,Technical Degree,Male,66,Laboratory Technician,Single,2340,23213,1,Yes,18,1,3,1,0,0,0,18–30,0–10
37,No,Travel_Rarely,799,Research & Development,1,Technical Degree,Female,59,Manufacturing Director,Single,7491,23848,4,No,17,12,3,6,5,1,2,31–40,0–10
46,No,Travel_Frequently,1034,Research & Development,18,Medical,Female,86,Healthcare Representative,Married,10527,8984,5,No,11,28,3,2,2,1,2,41–50,0–10
41,No,Travel_Rarely,1276,Sales,2,Life Sciences,Female,91,Manager,Married,16595,5626,7,No,16,22,2,18,16,11,8,41–50,11–20
37,No,Non-Travel,142,Sales,9,Medical,Male,69,Sales Executive,Divorced,8834,24666,1,No,13,9,6,9,5,7,7,31–40,0–10
52,No,Travel_Rarely,956,Research & Development,6,Technical Degree,Male,78,Research Scientist,Divorced,5577,22087,3,Yes,12,18,3,10,9,6,9,51–60,0–10
32,Yes,Non-Travel,1474,Sales,11,Other,Male,60,Sales Executive,Married,4707,23914,8,No,12,6,2,4,2,1,2,31–40,0–10
24,No,Travel_Frequently,535,Sales,24,Medical,Male,38,Sales Representative,Married,2400,5530,0,No,13,3,3,2,2,2,1,18–30,0–10
38,No,Travel_Rarely,1495,Research & Development,10,Medical,Female,76,Healthcare Representative,Married,9824,22174,3,No,19,18,4,1,0,0,0,31–40,0–10
37,No,Travel_Rarely,446,Research & Development,1,Life Sciences,Female,65,Manufacturing Director,Married,6447,15701,6,No,12,8,2,6,5,4,3,31–40,0–10
49,No,Travel_Rarely,1245,Research & Development,18,Life Sciences,Male,58,Research Director,Divorced,19502,2125,1,Yes,17,31,5,31,9,0,9,41–50,31–40
24,No,Travel_Rarely,691,Research & Development,23,Medical,Male,89,Research Scientist,Married,2725,21630,1,Yes,11,6,3,6,5,1,4,18–30,0–10
26,No,Travel_Rarely,703,Sales,28,Marketing,Male,66,Sales Executive,Married,6272,7428,1,No,20,6,5,5,3,1,4,18–30,0–10
24,No,Travel_Rarely,823,Research & Development,17,Other,Male,94,Laboratory Technician,Married,2127,9100,1,No,21,1,2,1,0,0,0,18–30,0–10
50,No,Travel_Frequently,1246,Human Resources,3,Medical,Male,99,Manager,Married,18200,7999,1,No,11,32,2,32,5,10,7,41–50,31–40
25,No,Travel_Rarely,622,Sales,13,Medical,Male,40,Sales Representative,Married,2096,26376,1,No,11,7,1,7,4,0,6,18–30,0–10
24,Yes,Travel_Frequently,1287,Research & Development,7,Life Sciences,Female,55,Laboratory Technician,Married,2886,14168,1,Yes,16,6,4,6,3,1,2,18–30,0–10
30,Yes,Travel_Frequently,448,Sales,12,Life Sciences,Male,74,Sales Representative,Married,2033,14470,1,No,18,1,2,1,0,0,0,18–30,0–10
34,No,Travel_Rarely,254,Research & Development,1,Life Sciences,Male,83,Research Scientist,Married,3622,22794,1,Yes,13,6,3,6,5,1,3,31–40,0–10
31,Yes,Travel_Rarely,1365,Sales,13,Medical,Male,46,Sales Executive,Divorced,4233,11512,2,No,17,9,2,3,1,1,2,31–40,0–10
35,No,Travel_Rarely,538,Research & Development,25,Other,Male,54,Laboratory Technician,Single,3681,14004,4,No,14,9,3,3,2,0,2,31–40,0–10
31,No,Travel_Rarely,525,Sales,6,Medical,Male,66,Sales Executive,Divorced,5460,6219,4,No,22,13,4,7,7,5,7,31–40,0–10
27,No,Travel_Rarely,798,Research & Development,6,Medical,Female,66,Research Scientist,Divorced,2187,5013,0,No,12,6,5,5,3,0,3,18–30,0–10
37,No,Travel_Rarely,558,Sales,2,Marketing,Male,75,Sales Executive,Married,9602,3010,4,Yes,11,17,3,3,0,1,0,31–40,0–10
20,No,Travel_Rarely,959,Research & Development,1,Life Sciences,Female,83,Research Scientist,Single,2836,11757,1,No,13,1,0,1,0,0,0,18–30,0–10
42,No,Travel_Rarely,622,Research & Development,2,Life Sciences,Female,81,Healthcare Representative,Married,4089,5718,1,No,13,10,4,10,2,2,2,41–50,0–10
43,No,Travel_Rarely,782,Research & Development,6,Other,Male,50,Research Director,Divorced,16627,2671,4,Yes,14,21,3,1,0,0,0,41–50,0–10
38,No,Travel_Rarely,362,Research & Development,1,Life Sciences,Female,43,Research Scientist,Single,2619,14561,3,No,17,8,3,0,0,0,0,31–40,0
43,No,Travel_Frequently,1001,Research & Development,9,Medical,Male,72,Laboratory Technician,Divorced,5679,19627,3,Yes,13,10,3,8,7,4,7,41–50,0–10
48,No,Travel_Rarely,1236,Research & Development,1,Life Sciences,Female,40,Manager,Married,15402,17997,7,No,11,21,3,3,2,0,2,41–50,0–10
44,No,Travel_Rarely,1112,Human Resources,1,Life Sciences,Female,50,Human Resources,Single,5985,26894,4,No,11,10,1,2,2,0,2,41–50,0–10
34,No,Travel_Rarely,204,Sales,14,Technical Degree,Female,31,Sales Representative,Divorced,2579,2912,1,Yes,18,8,3,8,2,0,6,31–40,0–10
27,Yes,Travel_Rarely,1420,Sales,2,Marketing,Male,85,Sales Representative,Divorced,3041,16346,0,No,11,5,3,4,3,0,2,18–30,0–10
21,No,Travel_Rarely,1343,Sales,22,Technical Degree,Male,49,Sales Representative,Single,3447,24444,1,No,11,3,2,3,2,1,2,18–30,0–10
44,No,Travel_Rarely,1315,Research & Development,3,Other,Male,35,Manager,Married,19513,9358,4,Yes,12,26,2,2,2,0,1,41–50,0–10
22,No,Travel_Rarely,604,Research & Development,6,Medical,Male,69,Research Scientist,Married,2773,12145,0,No,20,3,3,2,2,2,2,18–30,0–10
33,No,Travel_Rarely,1216,Sales,8,Marketing,Male,39,Sales Executive,Divorced,7104,20431,0,No,12,6,3,5,0,1,2,31–40,0–10
32,No,Travel_Rarely,646,Research & Development,9,Life Sciences,Female,92,Research Scientist,Married,6322,18089,1,Yes,12,6,2,6,4,0,5,31–40,0–10
30,No,Travel_Frequently,160,Research & Development,3,Medical,Female,71,Research Scientist,Divorced,2083,22653,1,No,20,1,2,1,0,0,0,18–30,0–10
53,No,Travel_Rarely,238,Sales,1,Medical,Female,34,Sales Executive,Single,8381,7507,7,No,20,18,2,14,7,8,10,51–60,11–20
34,No,Travel_Rarely,1397,Research & Development,1,Life Sciences,Male,42,Research Scientist,Married,2691,7660,1,No,12,10,4,10,9,8,8,31–40,0–10
45,Yes,Travel_Frequently,306,Sales,26,Life Sciences,Female,100,Sales Executive,Married,4286,5630,2,No,14,5,4,1,1,0,0,41–50,0–10
26,No,Travel_Rarely,991,Research & Development,6,Life Sciences,Female,71,Laboratory Technician,Married,2659,17759,1,Yes,13,3,2,3,2,0,2,18–30,0–10
37,No,Travel_Rarely,482,Research & Development,3,Other,Male,36,Manufacturing Director,Married,9434,9606,1,No,15,10,2,10,7,7,8,31–40,0–10
29,No,Travel_Rarely,1176,Sales,3,Medical,Female,62,Sales Executive,Married,5561,3487,1,No,14,6,5,6,0,1,2,18–30,0–10
35,No,Travel_Rarely,1017,Research & Development,6,Life Sciences,Male,82,Research Scientist,Single,6646,19368,1,No,13,17,3,17,11,11,8,31–40,11–20
33,No,Travel_Frequently,1296,Research & Development,6,Life Sciences,Male,30,Healthcare Representative,Divorced,7725,5335,3,No,23,15,2,13,11,4,7,31–40,11–20
54,No,Travel_Rarely,397,Human Resources,19,Medical,Male,88,Human Resources,Married,10725,6729,2,No,15,16,1,9,7,7,1,51–60,0–10
36,No,Travel_Rarely,913,Research & Development,9,Medical,Male,48,Manufacturing Director,Divorced,8847,13934,2,Yes,11,13,2,3,2,0,2,31–40,0–10
27,No,Travel_Rarely,1115,Research & Development,3,Medical,Male,54,Research Scientist,Single,2045,15174,0,No,13,5,0,4,2,1,1,18–30,0–10
20,Yes,Travel_Rarely,1362,Research & Development,10,Medical,Male,32,Research Scientist,Single,1009,26999,1,Yes,11,1,5,1,0,1,1,18–30,0–10
33,Yes,Travel_Frequently,1076,Research & Development,3,Life Sciences,Male,70,Research Scientist,Single,3348,3164,1,Yes,11,10,3,10,8,9,7,31–40,0–10
35,No,Non-Travel,727,Research & Development,3,Life Sciences,Male,41,Laboratory Technician,Married,1281,16900,1,No,18,1,3,1,0,0,0,31–40,0–10
23,No,Travel_Rarely,885,Research & Development,4,Medical,Male,58,Research Scientist,Married,2819,8544,2,No,16,5,3,3,2,0,2,18–30,0–10
25,No,Travel_Rarely,810,Sales,8,Life Sciences,Male,57,Sales Executive,Married,4851,15678,0,No,22,4,4,3,2,1,2,18–30,0–10
38,No,Travel_Rarely,243,Sales,7,Marketing,Female,46,Sales Executive,Single,4028,7791,0,No,20,8,2,7,7,0,5,31–40,0–10
29,No,Travel_Frequently,806,Research & Development,1,Life Sciences,Male,76,Research Scientist,Divorced,2720,18959,1,No,18,10,5,10,7,2,8,18–30,0–10
48,No,Travel_Rarely,817,Sales,2,Marketing,Male,56,Sales Executive,Married,8120,18597,3,No,12,12,3,2,2,2,2,41–50,0–10
27,No,Travel_Frequently,1410,Sales,3,Medical,Female,71,Sales Executive,Divorced,4647,16673,1,Yes,20,6,3,6,5,0,4,18–30,0–10
37,No,Travel_Rarely,1225,Research & Development,10,Life Sciences,Male,80,Research Scientist,Single,4680,15232,3,No,17,4,2,1,0,0,0,31–40,0–10
50,No,Travel_Rarely,1207,Research & Development,28,Medical,Male,74,Laboratory Technician,Married,3221,3297,1,Yes,11,20,3,20,8,3,8,41–50,11–20
34,No,Travel_Rarely,1442,Research & Development,9,Medical,Female,46,Healthcare Representative,Single,8621,17654,1,No,14,9,3,8,7,7,7,31–40,0–10
24,Yes,Travel_Rarely,693,Sales,3,Life Sciences,Female,65,Sales Executive,Single,4577,24785,9,No,14,4,3,2,2,2,0,18–30,0–10
39,No,Travel_Rarely,408,Research & Development,2,Technical Degree,Female,80,Healthcare Representative,Single,4553,20978,1,No,11,20,4,20,7,11,10,31–40,11–20
32,No,Travel_Rarely,929,Sales,10,Marketing,Male,55,Sales Executive,Single,5396,21703,1,No,12,10,2,10,7,0,8,31–40,0–10
50,Yes,Travel_Frequently,562,Sales,8,Technical Degree,Male,50,Sales Executive,Married,6796,23452,3,Yes,14,18,4,4,3,1,3,41–50,0–10
38,No,Travel_Rarely,827,Research & Development,1,Life Sciences,Female,33,Healthcare Representative,Single,7625,19383,0,No,13,10,4,9,7,1,8,31–40,0–10
27,No,Travel_Rarely,608,Research & Development,1,Life Sciences,Female,68,Manufacturing Director,Married,7412,6009,1,No,11,9,3,9,7,0,7,18–30,0–10
32,No,Travel_Rarely,1018,Research & Development,3,Life Sciences,Female,39,Research Director,Single,11159,19373,3,No,15,10,6,7,7,7,7,31–40,0–10
47,No,Travel_Rarely,703,Sales,14,Marketing,Male,42,Sales Executive,Single,4960,11825,2,No,12,20,2,7,7,1,7,41–50,0–10
40,No,Travel_Frequently,580,Sales,5,Life Sciences,Male,48,Sales Executive,Married,10475,23772,5,Yes,21,20,2,18,13,1,12,31–40,11–20
53,No,Travel_Rarely,970,Research & Development,7,Life Sciences,Male,59,Research Director,Married,14814,13514,3,No,19,32,3,5,1,1,3,51–60,0–10
41,No,Travel_Rarely,427,Human Resources,10,Human Resources,Male,73,Manager,Divorced,19141,8861,3,No,15,23,2,21,6,12,6,41–50,21–30
60,No,Travel_Rarely,1179,Sales,16,Marketing,Male,84,Sales Executive,Single,5405,11924,8,No,14,10,1,2,2,2,2,51–60,0–10
27,No,Travel_Frequently,294,Research & Development,10,Life Sciences,Male,32,Manufacturing Director,Divorced,8793,4809,1,No,21,9,4,9,7,1,7,18–30,0–10
41,No,Travel_Rarely,314,Human Resources,1,Human Resources,Male,59,Manager,Married,19189,19562,1,No,12,22,3,22,7,2,10,41–50,21–30
50,No,Travel_Rarely,316,Sales,8,Marketing,Male,54,Sales Representative,Married,3875,9983,7,No,15,4,2,2,2,2,2,41–50,0–10
28,Yes,Travel_Rarely,654,Research & Development,1,Life Sciences,Female,67,Research Scientist,Single,2216,3872,7,Yes,13,10,4,7,7,3,7,18–30,0–10
36,No,Non-Travel,427,Research & Development,8,Life Sciences,Female,63,Research Director,Married,11713,20335,9,No,14,10,2,8,7,0,5,31–40,0–10
38,No,Travel_Rarely,168,Research & Development,1,Life Sciences,Female,81,Manufacturing Director,Single,7861,15397,4,Yes,14,10,4,1,0,0,0,31–40,0–10
44,No,Non-Travel,381,Research & Development,24,Medical,Male,49,Laboratory Technician,Single,3708,2104,2,No,14,9,5,5,2,1,4,41–50,0–10
47,No,Travel_Frequently,217,Sales,3,Medical,Female,49,Sales Executive,Divorced,13770,10225,9,Yes,12,28,2,22,2,11,13,41–50,21–30
30,No,Travel_Rarely,501,Sales,27,Marketing,Male,99,Sales Executive,Divorced,5304,25275,7,No,23,10,2,8,7,7,7,18–30,0–10
29,No,Travel_Rarely,1396,Sales,10,Life Sciences,Male,99,Sales Representative,Single,2642,2755,1,No,11,1,6,1,0,0,0,18–30,0–10
42,Yes,Travel_Frequently,933,Research & Development,19,Medical,Male,57,Research Scientist,Divorced,2759,20366,6,Yes,12,7,2,2,2,2,2,41–50,0–10
43,No,Travel_Frequently,775,Sales,15,Life Sciences,Male,47,Sales Executive,Married,6804,23683,3,No,18,7,5,2,2,2,2,41–50,0–10
